text,env_problems,pollution,treatment,climate,biomonitoring
"У басейні Південного Бугу налічується 6582 малих річок, загальною довжиною близько 20 тис. км, 11 середніх річок загальною довжиною понад 1,6 тис. км та 1 велика річка Південний Буг.",0,0,0,0,0
"Південний Буг бере початок на Волино-Подільській височині поблизу с.Холодець Хмельницької області і впадає в Дніпро-Бузький лиман Чорного моря. Довжина річки становить 806 км, загальне падіння 321 м, середній схил  водної поверхні 0,4 ‰.",0,0,0,0,0
"У Кіровоградській, Одеській та Миколаївській областях зустрічаються невеликі озера. Їх загальна площа складає 190 га. ",0,0,0,0,0
"Дніпро-Бузький лиман є мілководною затокою Чорного моря, що відокремлений від нього Кінбурнською косою. Сполучається лиман з морем Кінбурнською протокою, через яку і здійснюється водообмін. На сході лиман межує з гирлом Дніпра, на півночі поступово переходить у р. Південний Буг.",0,0,0,0,0
"За своїми розмірами Дніпро-Бузький лиман є найбільшим на Чорному морі. Його площа складає 800 км2, об’єм води – 3 км3. Лиман є мілководним, його середня глибина становить 3,5-4 м.",0,0,0,0,0
"Дніпро-Бузький лиман інколи розглядають як дві водойми – Дніпровський та Бузький, але чіткої межі між ними немає. Якщо межі дніпровської частини лиману є доволі чіткими, то верхня межа бузької частини є дискутивною. Найчастіше цю межу проводять по Варварівському мосту, що знаходиться в м. Миколаїв. Довжина Бузького лиману 47 км, ширина – 11 км, площа 162 км2. Ступінь мінералізації лиману – солонуватий. ",0,0,0,0,0
"Характерною особливістю басейну Південного Бугу, що виділяє його з поміж інших великих річок є дуже велика його зарегульованість. В басейні створено майже 10 тисяч штучних водойм, сумарний їх об’єм понад 1,5 км3, що практично дорівнює стоку в маловодний рік 95% забезпеченості.",0,0,0,0,0
"Ставки. В басейні розташовано 9877 ставків, загальною площею понад 56,4 тис. га та сумарним об’ємом 644 млн.м3. Внаслідок проведеної у 2013 році в областях басейну інвентаризації водних об’єктів, загальна кількість ставків порівняно із 2012 роком збільшилася на 122 шт. Найбільша кількість ставків побудована у Вінницькій (3443), Черкаській (2206) та Кіровоградській (2188) областях.",0,0,0,0,0
"Водосховища. В басейні розташовано 187 водосховищ місткістю 894 млн.м3, загальною площею водного дзеркала майже 30 тис. га. На самому руслі р.Південний Буг побудовано 16 водосховищ місткістю 316 млн. м3, які використовуються для потреб гідроенергетики, водопостачання та рекреації. Найбільша кількість водосховищ побудована в Кіровоградській (64) і Вінницькій (42) областях. ",0,0,0,0,0
"Для водопостачання обласного центру побудований водовід із басейну Дніпра с.Чернилівка – м. Хмельницький довжиною 34 км пропускною здатністю 0,8 м3/с. За 2013 рік подано 20 млн.м3.",0,0,0,0,0
"Водогоном довжиною 130 км вода подається з р. Рось (басейн Дніпра) до м.Умань Черкаської області, пропускною здатністю 0,14 м3/с. За 2013 рік подано 3,9 млн.м3.",0,0,0,0,0
"Водовід Дніпро-Кіровоград введений в експлуатацію в 1973 році. Водозабір розташований на Кременчуцькому водосховищі. Довжина водоводу – 116 км. Пропускна здатність 1,7 м3/сек. Основне призначення – питне водопостачання міста Кіровоград, декількох районних центрів та сільських населених пунктів, що знаходяться біля траси водоводу. В 2013 році подано води в обсязі 30 млн.м3.",0,0,0,0,0
"Загальна довжина магістральних каналів, що транспортують воду у маловодні райони басейну Південного Бугу у Миколаївській області становить 53,3 км. У 2013 році водоводом Дніпро-Миколаїв було подано 50 млн.м3 дніпровської води, в т.ч. для водоспоживачів м.Миколаїв – 46 млн.м3.",0,0,0,0,0
"Річки Вінниччини належать до басейнів трьох основних рік України – Південного Бугу, Дністра і Дніпра, на  басейни яких припадає відповідно 62, 28 і 10 % території області.",0,0,0,0,0
"Для приток Південного Бугу та Дніпра характерний незначний нахил русла, притоки Дністра – порожисті. Живляться річки дощовими (48 %), сніговими (25%) і підземними водами (27%). Мінералізація води гідрокарбонатно-кальцієва.",0,0,0,0,0
"Для річок характерним є водний режим з помітною весняною повінню. Використовуються вони для питного та технічного водопостачання, судноплавства, зрошування земель і гідроенергетики. Річки області можна поділити за такими категоріями:",0,0,0,0,0
"2. Середні річки – 4 (Соб, Гірський Тікич, Мурафа, Рось);",0,0,0,0,0
"Всього по території області протікає 3,6 тис. річок, загальною протяжністю 11,8 тис.км. Пересічна густота річкової мережі становить 0,45 км/км2.",0,0,0,0,0
"Відділом водних ресурсів у 1999 році складено Каталог річок Вінницької області довжиною більше 10 км кожна. З 2007 року проводилось подальше вдосконалення каталогу та робота з місцевими краєзнавцями по встановленню назв безіменних річок. У 2018 видано РЕЄСТР РІЧОК ВІННИЦЬКОЇ ОБЛАСТІ (Довідковий посібник 2-е видання, доповнене)",0,0,0,0,0
"Для річок області характерним є висока ступінь зарегульованості штучними водоймами – водосховищами і ставками. Насиченість ставками на Вінниччині – найвища в Україні. Найбільше ставків і водосховищ в області припадає на басейн Південного Бугу. У 2011 році відділом водних ресурсів проводилась інвентаризація водосховищ і ставків. По окремих водосховищах, проведено уточнення їх параметрів.",0,0,0,0,0
"Водосховища. У Вінницькій області розташовано 52 водосховища (без урахування 2-х водосховищ Дністровського каскаду), загальною площею 9,7 тис. га. Сумарний об’єм водосховищ на території області становить 293 млн.м3.",0,0,0,0,0
Ставки. В області нараховується 4849 ставків загальною площею 24 тис. га і сумарним об’ємом 248 млн. м3. ,0,0,0,0,0
